date,1. open,2. high,3. low,4. close,5. volume
2016-05-13,2.37,2.4,2.32,2.32,7632.0
2016-05-12,2.386,2.4,2.386,2.4,2100.0
2016-05-11,2.35,2.4,2.33,2.39,3600.0
2016-05-10,2.49,2.5,2.324,2.381,22889.0
2016-05-09,2.54,2.54,2.3,2.3,14977.0
2016-05-06,2.41,2.49,2.41,2.464,400.0
2016-05-05,2.44,2.5,2.43,2.4995,2645.0
2016-05-04,2.62,2.62,2.52,2.52,7390.0
2016-05-03,2.488,2.6199,2.47,2.47,5195.0
2016-05-02,2.6899,2.69,2.46,2.63,8782.0
2016-04-29,2.5301,2.63,2.46,2.51,6251.0
2016-04-28,2.69,2.69,2.54,2.62,7900.0
2016-04-27,2.64,2.7489,2.5,2.68,60400.0
2016-04-26,2.35,2.7,2.3,2.47,27052.0
2016-04-25,2.45,2.52,2.32,2.32,6603.0
2016-04-22,2.53,2.53,2.45,2.45,310.0
2016-04-21,2.5689,2.5689,2.45,2.45,300.0
2016-04-20,2.5,2.5889,2.45,2.51,8661.0
2016-04-19,2.45,2.5,2.45,2.46,6206.0
2016-04-18,2.57,2.57,2.46,2.5489,800.0
2016-04-15,2.47,2.62,2.36,2.45,7790.0
2016-04-14,2.7,2.7,2.5,2.65,3511.0
2016-04-13,2.69,2.69,2.69,2.69,100.0
2016-04-12,2.51,2.69,2.47,2.69,6224.0
2016-04-11,2.63,2.6395,2.47,2.59,2522.0
2016-04-08,2.63,2.63,2.63,2.63,20.0
2016-04-07,2.62,2.63,2.5001,2.63,7314.0
2016-04-06,2.62,2.63,2.26,2.6189,19478.0
2016-04-05,2.67,2.8,2.49,2.62,63035.0
2016-04-04,2.82,2.82,2.55,2.57,2277.0
2016-04-01,2.6389,2.72,2.42,2.7,9960.0
2016-03-31,3.0,3.0,2.3201,2.61,22116.0
2016-03-30,2.46,2.66,2.27,2.52,18809.0
2016-03-29,2.61,2.6599,2.2601,2.27,21890.0
2016-03-28,2.65,2.66,2.65,2.66,300.0
2016-03-24,2.63,2.6499,2.63,2.6499,1100.0
2016-03-23,2.48,2.63,2.31,2.62,7478.0
2016-03-22,2.75,2.75,2.4706,2.4706,1003.0
2016-03-21,2.89,2.89,2.55,2.673,6478.0
2016-03-18,2.615,2.62,2.61,2.61,500.0
2016-03-17,2.7,2.7,2.56,2.56,2424.0
2016-03-16,2.55,2.67,2.35,2.6699,26418.0
2016-03-15,2.7,2.71,2.61,2.69,1318.0
2016-03-14,2.711,2.7189,2.63,2.702,2562.0
2016-03-11,2.56,2.71,2.56,2.71,1004.0
2016-03-10,2.57,2.7,2.55,2.7,3900.0
2016-03-09,2.7,2.71,2.62,2.71,4650.0
2016-03-08,2.72,2.72,2.65,2.686,3632.0
2016-03-07,2.74,2.75,2.55,2.6895,6480.0
2016-03-04,2.5,2.73,2.5,2.59,13085.0
2016-03-03,2.83,2.849,2.53,2.69,18300.0
2016-03-02,2.74,2.79,2.74,2.79,5257.0
2016-03-01,2.74,2.768,2.5,2.74,21534.0
2016-02-29,2.79,2.95,2.5,2.75,22709.0
2016-02-26,3.0,3.0,2.7,2.93,20583.0
2016-02-25,3.0706,3.08,2.8981,2.99,8511.0
2016-02-24,3.14,3.18,2.98,3.16,6820.0
2016-02-23,3.18,3.18,3.18,3.18,110.0
2016-02-22,3.09,3.133,3.08,3.13,1300.0
2016-02-19,3.29,3.29,2.99,3.14,4793.0
2016-02-18,3.258,3.3,3.1001,3.2189,7315.0
2016-02-17,3.27,3.35,3.16,3.2989,10310.0
2016-02-16,3.38,3.38,3.2,3.35,12930.0
2016-02-12,3.19,3.45,3.18,3.25,4091.0
2016-02-11,3.16,3.16,3.16,3.16,205.0
2016-02-10,3.17,3.2,3.06,3.2,21713.0
2016-02-09,2.9874,3.3,2.95,3.16,6300.0
2016-02-08,3.05,3.0501,2.9001,3.05,8602.0
2016-02-05,2.9574,3.08,2.9574,3.08,2300.0
2016-02-04,3.0801,3.0801,2.97,2.981,9545.0
2016-02-03,3.1,3.15,3.0,3.08,12590.0
2016-02-02,3.09,3.15,2.93,3.077,38091.0
2016-02-01,3.07,3.15,3.0,3.0,12499.0
2016-01-29,2.83,3.0,2.74,2.9999,37706.0
2016-01-28,2.83,2.84,2.6201,2.8399,1900.0
2016-01-27,2.66,2.85,2.57,2.84,27506.0
2016-01-26,2.7,2.72,2.61,2.7,10984.0
2016-01-25,2.82,2.8389,2.6,2.71,14620.0
2016-01-22,2.89,2.89,2.67,2.6901,17110.0
2016-01-21,2.92,2.92,2.7852,2.84,10155.0
2016-01-20,2.9053,2.94,2.75,2.8,35464.0
2016-01-19,2.81,2.98,2.71,2.88,21316.0
2016-01-15,2.9018,2.98,2.78,2.95,13835.0
2016-01-14,2.95,3.08,2.73,2.84,32145.0
2016-01-13,3.03,3.1,2.73,2.83,12456.0
2016-01-12,2.97,3.1,2.66,2.972,19041.0
2016-01-11,2.84,3.0489,2.62,3.02,31490.0
2016-01-08,2.66,2.8,2.35,2.8,91934.0
2016-01-07,2.35,2.85,2.35,2.37,22127.0
2016-01-06,2.51,2.51,2.35,2.37,7772.0
2016-01-05,2.5,2.579,2.35,2.35,17198.0
2016-01-04,2.4,2.73,2.4,2.415,19105.0
2015-12-31,2.8,2.84,2.241,2.56,166628.0
2015-12-30,2.99,3.0,2.7,2.85,24956.0
2015-12-29,2.9205,2.9999,2.8511,2.99,22441.0
2015-12-28,2.88,3.0,2.85,3.0,7684.0
2015-12-24,2.94,2.94,2.92,2.92,2850.0
2015-12-23,3.01,3.02,2.9832,3.02,1247.0
2015-12-22,3.1,3.1199,2.92,3.06,22291.0
2015-12-21,3.05,3.06,2.9079,3.042,6956.0
2015-12-18,2.97,3.0211,2.9,2.97,17530.0
2015-12-17,3.13,3.13,2.9,3.0989,13874.0
2015-12-16,2.96,3.09,2.71,3.09,8441.0
2015-12-15,3.0999,3.0999,2.91,2.9608,4740.0
2015-12-14,3.1,3.1234,2.91,2.99,19328.0
2015-12-11,3.02,3.31,3.0,3.15,15231.0
2015-12-10,3.28,3.3,2.95,3.22,28380.0
2015-12-09,3.18,3.3,3.0,3.1,22797.0
2015-12-08,3.35,3.35,3.1501,3.2499,9520.0
2015-12-07,3.23,3.51,3.2,3.35,20744.0
2015-12-04,3.42,3.57,3.2,3.2,57690.0
2015-12-03,3.53,3.75,3.4,3.48,27849.0
2015-12-02,3.37,4.05,3.31,3.6,109261.0
2015-12-01,3.43,3.49,3.23,3.47,21560.0
2015-11-30,3.59,3.8299,3.39,3.56,35844.0
2015-11-27,4.1,4.25,3.6,3.7,64752.0
2015-11-25,3.33,4.13,3.33,4.07,178283.0
2015-11-24,3.37,3.39,2.95,3.22,77244.0
2015-11-23,2.9,2.9,2.77,2.9,15002.0
2015-11-20,2.8171,2.98,2.8171,2.94,18907.0
2015-11-19,2.95,3.0,2.78,2.886,49252.0
2015-11-18,2.8,3.11,2.763,3.02,52846.0
2015-11-17,3.8,3.8,2.75,3.0,204602.0
2015-11-16,3.77,3.8,3.43,3.5,53175.0
2015-11-13,3.65,3.9,3.6,3.74,11386.0
2015-11-12,3.82,3.95,3.69,3.8,69775.0
2015-11-11,3.79,3.85,3.55,3.81,67779.0
2015-11-10,3.93,4.1163,3.5,3.64,160099.0
2015-11-09,4.5,4.69,3.92,3.98,192175.0
2015-11-06,4.75,4.75,4.4,4.61,117547.0
2015-11-05,4.28,4.7299,4.1501,4.5899,212113.0
2015-11-04,5.15,5.27,3.805,4.35,462977.0
